date,day_type,sale_event,shift,forecast_order_units,avg_smv_min_per_unit
2026-06-01,Weekday,No,Morning (06-14),9268,2.34
2026-06-01,Weekday,No,Afternoon (14-22),11946,2.5
2026-06-01,Weekday,No,Night (22-06),5915,2.33
2026-06-02,Weekday,No,Morning (06-14),9852,2.43
2026-06-02,Weekday,No,Afternoon (14-22),11176,2.4
2026-06-02,Weekday,No,Night (22-06),5833,2.3
2026-06-03,Weekday,No,Morning (06-14),9130,2.16
2026-06-03,Weekday,No,Afternoon (14-22),10309,2.29
2026-06-03,Weekday,No,Night (22-06),5635,2.38
2026-06-04,Weekday,No,Morning (06-14),8509,2.21
2026-06-04,Weekday,No,Afternoon (14-22),12511,2.33
2026-06-04,Weekday,No,Night (22-06),6024,2.21
2026-06-05,Weekday,No,Morning (06-14),8706,2.36
2026-06-05,Weekday,No,Afternoon (14-22),10705,2.39
2026-06-05,Weekday,No,Night (22-06),5783,2.32
2026-06-06,Weekend,No,Morning (06-14),10236,2.54
2026-06-06,Weekend,No,Afternoon (14-22),13559,2.24
2026-06-06,Weekend,No,Night (22-06),7429,2.23
2026-06-07,Weekend,No,Morning (06-14),10753,2.15
2026-06-07,Weekend,No,Afternoon (14-22),12488,2.37
2026-06-07,Weekend,No,Night (22-06),7393,2.37
2026-06-08,Weekday,No,Morning (06-14),8937,2.32
2026-06-08,Weekday,No,Afternoon (14-22),10479,2.28
2026-06-08,Weekday,No,Night (22-06),5834,2.46
2026-06-09,Weekday,No,Morning (06-14),9185,2.17
2026-06-09,Weekday,No,Afternoon (14-22),11723,2.31
2026-06-09,Weekday,No,Night (22-06),5756,2.41
2026-06-10,Weekday,No,Morning (06-14),9556,2.44
2026-06-10,Weekday,No,Afternoon (14-22),10920,2.32
2026-06-10,Weekday,No,Night (22-06),6119,2.45
2026-06-11,Weekday,No,Morning (06-14),8741,2.33
2026-06-11,Weekday,No,Afternoon (14-22),10736,2.23
2026-06-11,Weekday,No,Night (22-06),6292,2.49
2026-06-12,Weekday,No,Morning (06-14),8961,2.45
2026-06-12,Weekday,No,Afternoon (14-22),11749,2.29
2026-06-12,Weekday,No,Night (22-06),6130,2.5
2026-06-13,Weekend,No,Morning (06-14),10597,2.51
2026-06-13,Weekend,No,Afternoon (14-22),11437,2.43
2026-06-13,Weekend,No,Night (22-06),7116,2.32
2026-06-14,Weekend,No,Morning (06-14),10678,2.15
2026-06-14,Weekend,No,Afternoon (14-22),13391,2.39
2026-06-14,Weekend,No,Night (22-06),7707,2.3
2026-06-15,Weekday,Yes,Morning (06-14),14129,2.45
2026-06-15,Weekday,Yes,Afternoon (14-22),20017,2.53
2026-06-15,Weekday,Yes,Night (22-06),9585,2.55
2026-06-16,Weekday,Yes,Morning (06-14),14936,2.6
2026-06-16,Weekday,Yes,Afternoon (14-22),18175,2.47
2026-06-16,Weekday,Yes,Night (22-06),9667,2.35
2026-06-17,Weekday,Yes,Morning (06-14),15113,2.53
2026-06-17,Weekday,Yes,Afternoon (14-22),18980,2.48
2026-06-17,Weekday,Yes,Night (22-06),9059,2.46
2026-06-18,Weekday,No,Morning (06-14),8814,2.27
2026-06-18,Weekday,No,Afternoon (14-22),11388,2.39
2026-06-18,Weekday,No,Night (22-06),6679,2.37
2026-06-19,Weekday,No,Morning (06-14),9139,2.34
2026-06-19,Weekday,No,Afternoon (14-22),10176,2.35
2026-06-19,Weekday,No,Night (22-06),6021,2.6
2026-06-20,Weekend,No,Morning (06-14),10497,2.38
2026-06-20,Weekend,No,Afternoon (14-22),13541,2.23
2026-06-20,Weekend,No,Night (22-06),7565,2.43
2026-06-21,Weekend,No,Morning (06-14),11124,2.26
2026-06-21,Weekend,No,Afternoon (14-22),14712,2.21
2026-06-21,Weekend,No,Night (22-06),7329,2.57
2026-06-22,Weekday,No,Morning (06-14),8465,2.29
2026-06-22,Weekday,No,Afternoon (14-22),11568,2.3
2026-06-22,Weekday,No,Night (22-06),5441,2.36
2026-06-23,Weekday,No,Morning (06-14),8426,2.4
2026-06-23,Weekday,No,Afternoon (14-22),10865,2.5
2026-06-23,Weekday,No,Night (22-06),5718,2.32
2026-06-24,Weekday,No,Morning (06-14),9439,2.23
2026-06-24,Weekday,No,Afternoon (14-22),11656,2.48
2026-06-24,Weekday,No,Night (22-06),5421,2.37
2026-06-25,Weekday,No,Morning (06-14),9140,2.43
2026-06-25,Weekday,No,Afternoon (14-22),10646,2.22
2026-06-25,Weekday,No,Night (22-06),6187,2.38
2026-06-26,Weekday,No,Morning (06-14),9135,2.38
2026-06-26,Weekday,No,Afternoon (14-22),11030,2.37
2026-06-26,Weekday,No,Night (22-06),6105,2.28
2026-06-27,Weekend,No,Morning (06-14),11808,2.4
2026-06-27,Weekend,No,Afternoon (14-22),12600,2.42
2026-06-27,Weekend,No,Night (22-06),6665,2.43
2026-06-28,Weekend,No,Morning (06-14),11358,2.27
2026-06-28,Weekend,No,Afternoon (14-22),14354,2.39
2026-06-28,Weekend,No,Night (22-06),7429,2.54
2026-06-29,Weekday,No,Morning (06-14),8867,2.27
2026-06-29,Weekday,No,Afternoon (14-22),10886,2.27
2026-06-29,Weekday,No,Night (22-06),5972,2.38
2026-06-30,Weekday,No,Morning (06-14),9149,2.43
2026-06-30,Weekday,No,Afternoon (14-22),11508,2.5
2026-06-30,Weekday,No,Night (22-06),5904,2.62
